time,seq,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
2025-09-13 22:37:05,1,115321.52,3.46829,115321.53,8.21585
2025-09-13 22:37:05,2,115321.52,2.94425,115321.53,10.57518
2025-09-13 22:37:05,3,115321.52,1.58838,115321.53,11.78954
2025-09-13 22:37:05,4,115321.52,0.03794,115321.53,12.18321
2025-09-13 22:37:05,5,115321.37,0.06647,115321.38,23.62291
2025-09-13 22:37:05,6,115319.36,0.00164,115319.37,21.2398
2025-09-13 22:37:05,7,115319.36,0.0908,115319.37,21.82883
2025-09-13 22:37:05,8,115319.36,0.00127,115319.37,21.82843
2025-09-13 22:37:05,9,115319.36,0.0893,115319.37,21.82809
2025-09-13 22:37:05,10,115319.36,0.0895,115319.37,21.82809
2025-09-13 22:37:06,11,115319.36,0.06635,115319.37,21.82809
2025-09-13 22:37:06,12,115319.36,0.25459,115319.37,21.82809
2025-09-13 22:37:06,13,115319.36,0.25459,115319.37,21.04797
2025-09-13 22:37:06,14,115319.36,0.25359,115319.37,21.04797
2025-09-13 22:37:06,15,115319.36,0.08945,115319.37,21.82865
2025-09-13 22:37:06,16,115319.36,0.0905,115319.37,21.78253
2025-09-13 22:37:06,17,115319.36,0.09093,115319.37,21.78117
2025-09-13 22:37:06,18,115319.36,0.09093,115319.37,21.78117
2025-09-13 22:37:06,19,115319.36,0.09073,115319.37,21.78117
2025-09-13 22:37:06,20,115319.36,0.4102,115319.37,21.24311
2025-09-13 22:37:07,21,115319.36,0.4102,115319.37,21.24311
2025-09-13 22:37:07,22,115319.36,0.4102,115319.37,20.54947
2025-09-13 22:37:07,23,115319.36,0.78326,115319.37,20.54947
2025-09-13 22:37:07,24,115319.36,0.78336,115319.37,20.54947
2025-09-13 22:37:07,25,115319.36,0.82249,115319.37,20.54947
2025-09-13 22:37:07,26,115319.36,0.82251,115319.37,20.54947
2025-09-13 22:37:07,27,115319.36,0.82256,115319.37,20.54947
2025-09-13 22:37:07,28,115319.36,0.82256,115319.37,20.54947
2025-09-13 22:37:07,29,115319.36,0.82256,115319.37,20.55202
2025-09-13 22:37:07,30,115319.36,0.82262,115319.37,20.55197
2025-09-13 22:37:08,31,115319.36,0.82257,115319.37,20.11829
2025-09-13 22:37:08,32,115319.36,0.82397,115319.37,20.11829
2025-09-13 22:37:08,33,115319.36,1.01895,115319.37,17.75874
2025-09-13 22:37:08,34,115319.36,1.0189,115319.37,18.19242
2025-09-13 22:37:08,35,115319.36,0.8239,115319.37,20.52667
2025-09-13 22:37:08,36,115319.36,0.8239,115319.37,20.52678
2025-09-13 22:37:08,37,115319.36,0.71967,115319.37,20.52678
2025-09-13 22:37:08,38,115318.95,0.02155,115318.96,19.3053
2025-09-13 22:37:08,39,115315.2,0.00348,115315.21,22.65745
2025-09-13 22:37:08,40,115315.19,0.00115,115315.2,18.69976
2025-09-13 22:37:09,41,115315.19,0.0014,115315.2,20.61799
2025-09-13 22:37:09,42,115308.88,0.02554,115308.89,19.54618
2025-09-13 22:37:09,43,115308.88,0.02539,115308.89,19.86316
2025-09-13 22:37:09,44,115308.88,0.09153,115308.89,19.65889
2025-09-13 22:37:09,45,115308.88,0.09163,115308.89,19.66067
2025-09-13 22:37:09,46,115308.88,0.09173,115308.89,19.40046
2025-09-13 22:37:09,47,115308.88,0.09004,115308.89,19.51923
2025-09-13 22:37:09,48,115308.88,0.09036,115308.89,19.51658
2025-09-13 22:37:09,49,115308.88,0.09026,115308.89,21.85898
2025-09-13 22:37:09,50,115308.88,0.09031,115308.89,21.85898
2025-09-13 22:37:10,51,115308.88,0.09126,115308.89,22.3794
2025-09-13 22:37:10,52,115308.88,0.09136,115308.89,22.3794
2025-09-13 22:37:10,53,115308.88,0.09041,115308.89,22.382
2025-09-13 22:37:10,54,115308.88,0.09136,115308.89,22.3794
2025-09-13 22:37:10,55,115306.14,0.00315,115306.15,17.21888
2025-09-13 22:37:10,56,115301.79,0.96338,115301.8,24.72309
2025-09-13 22:37:10,57,115301.79,0.79982,115301.8,24.753
2025-09-13 22:37:10,58,115301.79,0.54537,115301.8,24.80885
2025-09-13 22:37:10,59,115301.79,0.54552,115301.8,24.81109
2025-09-13 22:37:10,60,115301.79,0.54552,115301.8,24.81109
2025-09-13 22:37:11,61,115301.79,0.54552,115301.8,24.84993
2025-09-13 22:37:11,62,115301.79,0.54552,115301.8,24.85003
2025-09-13 22:37:11,63,115301.79,0.54557,115301.8,24.85003
2025-09-13 22:37:11,64,115300.63,0.0002,115300.64,5.07023
2025-09-13 22:37:11,65,115299.99,0.17366,115300.0,4.50858
2025-09-13 22:37:11,66,115299.99,0.1754,115300.0,24.38228
2025-09-13 22:37:11,67,115299.99,0.24013,115300.0,24.23659
2025-09-13 22:37:11,68,115299.99,0.26433,115300.0,24.43645
2025-09-13 22:37:11,69,115299.99,0.26398,115300.0,24.43306
2025-09-13 22:37:11,70,115299.99,0.26408,115300.0,24.44248
2025-09-13 22:37:12,71,115299.99,0.1992,115300.0,25.48332
2025-09-13 22:37:12,72,115299.99,0.26383,115300.0,25.48597
2025-09-13 22:37:12,73,115299.99,0.26294,115300.0,25.48592
2025-09-13 22:37:12,74,115299.99,0.26334,115300.0,24.9655
2025-09-13 22:37:12,75,115299.99,0.26279,115300.0,24.53182
2025-09-13 22:37:12,76,115299.99,0.26274,115300.0,24.53182
2025-09-13 22:37:12,77,115299.99,0.26307,115300.0,24.53182
2025-09-13 22:37:12,78,115299.99,0.46988,115300.0,24.53096
2025-09-13 22:37:12,79,115299.99,0.46998,115300.0,24.35749
2025-09-13 22:37:12,80,115299.99,0.46993,115300.0,24.35732
2025-09-13 22:37:13,81,115299.99,0.46993,115300.0,23.92406
2025-09-13 22:37:13,82,115299.99,0.4687,115300.0,23.9244
2025-09-13 22:37:13,83,115299.99,0.40382,115300.0,24.53155
2025-09-13 22:37:13,84,115299.99,0.46879,115300.0,24.96257
2025-09-13 22:37:13,85,115299.99,0.46879,115300.0,24.96257
2025-09-13 22:37:13,86,115299.99,0.40382,115300.0,24.96272
2025-09-13 22:37:13,87,115299.99,0.26088,115300.0,25.48299
2025-09-13 22:37:13,88,115299.99,0.4526,115300.0,25.22313
2025-09-13 22:37:13,89,115299.99,0.45251,115300.0,24.96393
2025-09-13 22:37:13,90,115299.99,0.45246,115300.0,24.96318
2025-09-13 22:37:14,91,115299.99,0.45146,115300.0,24.96404
2025-09-13 22:37:14,92,115299.99,0.45161,115300.0,24.96404
2025-09-13 22:37:14,93,115299.99,0.45171,115300.0,24.96389
2025-09-13 22:37:14,94,115299.99,0.45171,115300.0,24.96359
2025-09-13 22:37:14,95,115299.99,0.45176,115300.0,24.96369
2025-09-13 22:37:14,96,115299.99,0.45176,115300.0,24.96384
2025-09-13 22:37:14,97,115299.99,0.25984,115300.0,24.96344
2025-09-13 22:37:14,98,115299.99,0.26084,115300.0,24.96344
2025-09-13 22:37:14,99,115299.99,0.26084,115300.0,24.96084
2025-09-13 22:37:14,100,115299.99,0.17117,115300.0,25.50709
2025-09-13 22:37:15,101,115299.99,0.19397,115300.0,25.50751
2025-09-13 22:37:15,102,115299.99,0.19417,115300.0,25.50751
2025-09-13 22:37:15,103,115299.99,0.19407,115300.0,25.51554
2025-09-13 22:37:15,104,115299.99,0.17122,115300.0,25.51294
2025-09-13 22:37:15,105,115299.99,0.17132,115300.0,25.51294
2025-09-13 22:37:15,106,115299.99,0.19437,115300.0,25.51294
2025-09-13 22:37:15,107,115299.99,0.17132,115300.0,25.51294
2025-09-13 22:37:15,108,115299.99,0.16799,115300.0,25.51294
2025-09-13 22:37:15,109,115299.99,0.16804,115300.0,25.53408
2025-09-13 22:37:15,110,115299.99,0.16804,115300.0,25.53406
2025-09-13 22:37:16,111,115299.99,0.19214,115300.0,25.53406
2025-09-13 22:37:16,112,115299.99,0.19054,115300.0,25.53406
2025-09-13 22:37:16,113,115299.99,0.19019,115300.0,25.52798
