time,seq,avg_price,interval
2025-09-13 20:59:04,112,115868.18626469,5m
2025-09-13 20:59:05,113,115868.18585975,5m
2025-09-13 20:59:06,114,115867.98772261,5m
2025-09-13 20:59:07,115,115867.82528404,5m
2025-09-13 20:59:09,116,115867.67034016,5m
2025-09-13 20:59:10,117,115867.68132504,5m
2025-09-13 20:59:11,118,115867.70188155,5m
2025-09-13 20:59:12,119,115867.69668485,5m
2025-09-13 20:59:13,120,115867.7074715,5m
2025-09-13 20:59:14,121,115867.5568319,5m
2025-09-13 20:59:15,122,115867.63712709,5m
2025-09-13 20:59:16,123,115867.63421044,5m
2025-09-13 20:59:17,124,115867.62871557,5m
2025-09-13 20:59:18,125,115867.63426965,5m
2025-09-13 20:59:19,126,115867.63566011,5m
2025-09-13 20:59:20,127,115867.63381067,5m
2025-09-13 20:59:21,128,115867.53185251,5m
2025-09-13 20:59:23,129,115867.53001506,5m
2025-09-13 20:59:24,130,115867.4049508,5m
2025-09-13 20:59:25,131,115867.40091344,5m
2025-09-13 20:59:26,132,115867.37854205,5m
2025-09-13 20:59:27,133,115867.34868808,5m
2025-09-13 20:59:28,134,115867.34889076,5m
2025-09-13 20:59:29,135,115867.34702012,5m
2025-09-13 20:59:30,136,115867.33984292,5m
2025-09-13 20:59:31,137,115867.12833033,5m
2025-09-13 20:59:32,138,115867.10818081,5m
2025-09-13 20:59:34,139,115867.12889409,5m
2025-09-13 20:59:35,140,115867.11944542,5m
2025-09-13 20:59:37,141,115867.10468957,5m
2025-09-13 20:59:38,142,115866.64652102,5m
2025-09-13 20:59:39,143,115866.63111515,5m
2025-09-13 20:59:41,144,115866.56944639,5m
2025-09-13 20:59:42,145,115866.55623831,5m
2025-09-13 20:59:43,146,115866.54933027,5m
2025-09-13 20:59:45,147,115866.55070227,5m
2025-09-13 20:59:46,148,115866.35999114,5m
2025-09-13 20:59:47,149,115866.35840376,5m
2025-09-13 20:59:48,150,115866.35692876,5m
2025-09-13 20:59:50,151,115866.36196932,5m
2025-09-13 20:59:51,152,115866.37178548,5m
2025-09-13 20:59:52,153,115866.37141555,5m
2025-09-13 20:59:53,154,115866.369572,5m
2025-09-13 20:59:54,155,115866.36883037,5m
2025-09-13 20:59:55,156,115866.36526784,5m
2025-09-13 20:59:56,157,115866.36432698,5m
2025-09-13 20:59:57,158,115866.36161391,5m
2025-09-13 20:59:59,159,115866.36281221,5m
2025-09-13 21:00:00,160,115866.29296429,5m
2025-09-13 21:00:01,161,115866.18211694,5m
2025-09-13 21:00:02,162,115865.19315971,5m
2025-09-13 21:00:03,163,115856.03730906,5m
2025-09-13 21:00:04,164,115855.78315326,5m
2025-09-13 21:00:05,165,115851.18698432,5m
2025-09-13 21:00:06,166,115850.83800296,5m
2025-09-13 21:00:07,167,115848.14042082,5m
2025-09-13 21:00:08,168,115848.05933169,5m
2025-09-13 21:00:09,169,115842.5965942,5m
2025-09-13 21:00:10,170,115842.50783179,5m
2025-09-13 21:00:11,171,115841.9641408,5m
2025-09-13 21:00:12,172,115841.57477562,5m
2025-09-13 21:00:13,173,115841.55787005,5m
2025-09-13 21:00:14,174,115829.61380069,5m
2025-09-13 21:00:15,175,115828.59553174,5m
2025-09-13 21:00:16,176,115827.29058127,5m
2025-09-13 21:00:17,177,115826.9032756,5m
2025-09-13 21:00:18,178,115826.81401638,5m
2025-09-13 21:00:19,179,115826.68098697,5m
2025-09-13 21:00:20,180,115826.43515652,5m
